dataset,model,mode,tail_it1_pct,tail_it2_pct,tail_it3_pct,tail_it4_pct,tail_it5_pct,head_it1_pct,head_it2_pct,head_it3_pct,head_it4_pct,head_it5_pct,overall_it1_pct,overall_it2_pct,overall_it3_pct,overall_it4_pct,overall_it5_pct,it1_tail_gap,it1_head_gap,it2_tail_gap,it2_head_gap,it3_tail_gap,it3_head_gap,it4_tail_gap,it4_head_gap,it5_tail_gap,it5_head_gap,overall_trend_pp,final_overall_pct
FB13,boxe,replace,22.90,31.80,68.80,31.80,68.80,7.60,10.50,13.60,10.50,13.60,15.30,21.20,41.20,21.20,41.20,,,,,,,,,,,25.90,41.20
FB13,complex,replace,26.80,29.60,71.00,29.60,71.00,61.50,66.40,65.50,66.40,65.50,44.20,48.00,68.30,48.00,68.30,,,,,,,,,,,24.10,68.30
FB13,boxe,add,22.70,18.70,18.00,17.20,17.60,7.60,27.70,33.10,11.80,16.50,15.20,23.20,25.60,14.50,17.10,,,,,,,,,,,1.90,17.10
WN18,boxe,replace,44.80,50.20,56.40,50.20,56.40,39.40,38.90,40.00,38.90,40.00,42.10,44.50,48.20,44.50,48.20,,,,,,,,,,,6.10,48.20
WN18,complex,replace,71.80,46.80,54.00,46.80,54.00,71.40,75.70,76.40,75.70,76.40,71.60,61.20,65.20,61.20,65.20,,,,,,,,,,,-6.40,65.20
WN18,hake_both,replace,58.70,48.90,52.60,48.90,52.60,60.80,60.00,60.50,60.00,60.50,59.70,54.50,56.50,54.50,56.50,,,,,,,,,,,-3.20,56.50
WN18,hole,replace,64.70,47.40,53.40,47.40,53.40,62.80,67.50,67.60,67.50,67.60,63.70,57.50,60.50,57.50,60.50,,,,,,,,,,,-3.20,60.50
WN18,quate,replace,70.60,43.20,56.90,43.20,56.90,68.40,72.60,73.00,72.60,73.00,69.50,57.90,65.00,57.90,65.00,,,,,,,,,,,-4.50,65.00
WN18,rotate,replace,38.00,52.20,56.20,52.20,56.20,30.70,42.60,43.50,42.60,43.50,34.30,47.40,49.90,47.40,49.90,,,,,,,,,,,15.60,49.90
WN18,rotpro,replace,46.40,49.80,55.90,49.80,55.90,42.60,40.30,41.30,40.30,41.30,44.50,45.00,48.60,45.00,48.60,,,,,,,,,,,4.10,48.60
WN18,toruse_eL2,replace,46.90,49.60,53.30,49.60,53.30,47.30,30.30,39.20,30.30,39.20,47.10,39.90,46.30,39.90,46.30,,,,,,,,,,,-0.80,46.30
WN18,transe,replace,48.10,41.50,58.70,41.50,58.70,50.80,30.60,35.90,30.60,35.90,49.40,36.00,47.30,36.00,47.30,,,,,,,,,,,-2.10,47.30
WN18,tucker,replace,92.60,48.00,87.00,48.00,87.00,90.70,96.70,95.90,96.70,95.90,91.70,72.40,91.40,72.40,91.40,,,,,,,,,,,-0.30,91.40
FB13,complex,add,26.70,17.60,16.30,15.60,15.40,61.60,49.50,73.10,58.90,55.70,44.10,33.60,44.70,37.20,35.50,,,,,,,,,,,-8.60,35.50
WN18,boxe,add,43.20,34.60,28.60,24.80,21.40,39.70,39.00,39.00,39.30,39.80,41.50,36.80,33.80,32.00,30.60,,,,,,,,,,,-10.90,30.60
WN18,complex,add,71.20,65.50,60.70,56.40,51.70,71.40,69.20,67.90,66.00,64.70,71.30,67.40,64.30,61.20,58.20,,,,,,,,,,,-13.10,58.20
WN18,hake_both,add,57.70,50.20,43.90,39.10,36.00,60.60,59.10,56.60,57.30,54.60,59.20,54.60,50.30,48.20,45.30,,,,,,,,,,,-13.90,45.30
WN18,hole,add,64.30,57.60,51.60,46.00,41.90,62.60,60.70,59.50,57.30,56.90,63.40,59.10,55.60,51.60,49.40,,,,,,,,,,,-14.00,49.40
WN18,quate,add,69.70,60.30,53.00,47.90,42.40,68.40,64.20,62.60,60.60,57.80,69.00,62.20,57.80,54.20,50.10,,,,,,,,,,,-18.90,50.10
WN18,rotate,add,34.80,27.80,24.40,21.60,20.70,30.40,32.00,35.10,34.90,39.20,32.60,29.90,29.80,28.20,30.00,,,,,,,,,,,-2.60,30.00
WN18,rotpro,add,44.50,34.10,26.60,24.10,21.30,42.50,37.50,38.50,39.40,39.10,43.50,35.80,32.60,31.70,30.20,,,,,,,,,,,-13.30,30.20
WN18,toruse_eL2,add,46.00,32.70,23.00,19.50,16.10,47.40,34.70,33.70,34.20,33.10,46.70,33.70,28.30,26.90,24.60,,,,,,,,,,,-22.10,24.60
WN18,transe,add,47.40,30.20,22.10,17.10,14.40,50.60,33.90,33.00,32.20,30.80,49.00,32.00,27.50,24.60,22.60,,,,,,,,,,,-26.40,22.60
WN18,tucker,add,91.80,87.30,86.20,84.00,83.30,90.50,88.90,88.10,87.30,86.90,91.20,88.10,87.20,85.60,85.10,,,,,,,,,,,-6.10,85.10
FB13,hake_both,add,77.30,73.30,23.60,20.40,19.50,99.70,98.80,94.20,94.20,97.10,88.50,86.00,58.90,57.30,58.30,,,,,,,,,,,-30.20,58.30
WN18RR,boxe,replace,59.80,49.60,58.20,49.60,58.20,39.90,39.60,40.60,39.60,40.60,49.80,44.60,49.40,44.60,49.40,,,,,,,,,,,-0.40,49.40
WN18RR,complex,replace,46.40,43.00,47.80,43.00,47.80,66.80,70.00,70.20,70.00,70.20,56.60,56.50,59.00,56.50,59.00,,,,,,,,,,,2.40,59.00
WN18RR,hake_both,replace,34.00,42.20,45.40,42.20,45.40,64.50,65.10,64.70,65.10,64.70,49.30,53.70,55.10,53.70,55.10,,,,,,,,,,,5.80,55.10
WN18RR,hole,replace,45.70,41.90,46.90,41.90,46.90,71.40,73.10,76.60,73.10,76.60,58.60,57.50,61.70,57.50,61.70,,,,,,,,,,,3.10,61.70
WN18RR,quate,replace,44.60,40.60,48.20,40.60,48.20,63.70,66.70,67.10,66.70,67.10,54.20,53.70,57.70,53.70,57.70,,,,,,,,,,,3.50,57.70
WN18RR,rotate,replace,35.20,51.40,47.30,51.40,47.30,49.90,70.10,72.50,70.10,72.50,42.50,60.70,59.90,60.70,59.90,,,,,,,,,,,17.40,59.90
WN18RR,rotpro,replace,36.30,41.00,54.20,41.00,54.20,51.60,53.10,54.20,53.10,54.20,44.00,47.00,54.20,47.00,54.20,,,,,,,,,,,10.20,54.20
WN18RR,toruse_eL2,replace,22.50,57.30,36.60,57.30,36.60,71.50,30.70,56.10,30.70,56.10,47.00,44.00,46.40,44.00,46.40,,,,,,,,,,,-0.60,46.40
WN18RR,transe,replace,22.60,47.70,41.60,47.70,41.60,72.50,30.90,48.00,30.90,48.00,47.60,39.30,44.80,39.30,44.80,,,,,,,,,,,-2.80,44.80
WN18RR,tucker,replace,90.90,53.20,47.80,53.20,47.80,93.40,99.60,99.20,99.60,99.20,92.10,76.40,73.50,76.40,73.50,,,,,,,,,,,-18.60,73.50
FB13,hole,add,41.50,30.00,18.10,15.70,14.90,94.20,86.50,80.90,83.50,81.20,67.90,58.30,49.50,49.60,48.00,,,,,,,,,,,-19.90,48.00
WN18RR,boxe,add,59.00,59.40,58.10,58.00,55.50,39.90,43.80,46.60,43.20,47.40,49.40,51.60,52.30,50.60,51.50,,,,,,,,,,,2.10,51.50
WN18RR,complex,add,46.70,39.40,33.10,28.70,26.00,66.80,64.80,61.00,61.80,59.20,56.80,52.10,47.10,45.30,42.60,,,,,,,,,,,-14.20,42.60
WN18RR,hake_both,add,33.80,27.20,24.20,21.60,18.80,64.40,64.30,62.20,59.30,60.80,49.10,45.80,43.20,40.50,39.80,,,,,,,,,,,-9.30,39.80
WN18RR,hole,add,45.50,36.70,31.80,27.60,24.60,71.30,69.20,68.10,66.10,66.40,58.40,52.90,49.90,46.90,45.50,,,,,,,,,,,-12.90,45.50
WN18RR,quate,add,44.30,34.20,27.90,23.90,22.50,63.90,60.90,60.30,58.50,57.00,54.10,47.60,44.10,41.20,39.70,,,,,,,,,,,-14.40,39.70
WN18RR,rotate,add,34.60,37.60,41.00,44.40,46.60,49.80,59.90,63.30,66.80,69.10,42.20,48.80,52.20,55.60,57.80,,,,,,,,,,,15.60,57.80
WN18RR,rotpro,add,36.00,27.00,24.20,23.90,24.10,51.70,44.90,45.40,46.10,46.40,43.90,35.90,34.80,35.00,35.20,,,,,,,,,,,-8.70,35.20
WN18RR,toruse_eL2,add,22.20,23.80,18.20,16.50,15.40,71.60,42.00,36.90,37.60,36.20,46.90,32.90,27.50,27.00,25.80,,,,,,,,,,,-21.10,25.80
WN18RR,transe,add,22.30,16.80,13.90,12.70,10.70,72.70,43.30,41.30,40.50,40.60,47.50,30.10,27.60,26.60,25.60,,,,,,,,,,,-21.90,25.60
WN18RR,tucker,add,90.80,87.10,83.00,78.40,76.80,93.40,89.80,87.80,87.90,86.20,92.10,88.50,85.40,83.20,81.50,,,,,,,,,,,-10.60,81.50
FB13,quate,add,31.30,19.40,15.90,14.50,13.70,68.80,81.30,71.10,49.60,61.30,50.10,50.30,43.50,32.00,37.50,,,,,,,,,,,-12.60,37.50
